source,listing_type,title,price,location,bedrooms,bathrooms,size_sqm,property_type,url,scraped_at
PigiaMe,Sale,Silver,"KSh 160,000,000","Lavington, Nairobi",5 bed,,,,https://www.pigiame.co.ke/listings/5-bed-townhouse-with-en-suite-at-lavington-6619343,2026-02-23T16:22:23.986304
PigiaMe,Sale,Silver,,,,,,,,2026-02-23T16:22:23.987669
PigiaMe,Sale,5 Bed Townhouse with En Suite at Lavington,"KSh 160,000,000","Lavington, Nairobi",5 bed,,,,,2026-02-23T16:22:24.009698
PigiaMe,Sale,Contact Seller,,,,,,,https://www.pigiame.co.ke/about#safety,2026-02-23T16:22:24.054056
PigiaMe,Sale,Contact Seller,,,,,,,,2026-02-23T16:22:24.055154
PigiaMe,Sale,Silver,"KSh 20,000,000","Kitengela, Nairobi",4 bed,,,,https://www.pigiame.co.ke/listings/4-bed-house-with-en-suite-in-kitengela-6616415,2026-02-23T16:22:24.102118
PigiaMe,Sale,4 Bed House with En Suite in Kitengela,"KSh 20,000,000","Kitengela, Nairobi",4 bed,,,,,2026-02-23T16:22:24.107340
PigiaMe,Sale,Silver,"KSh 350,000,000","Lavington, Nairobi",9 bed,,,,https://www.pigiame.co.ke/listings/9-bed-house-with-en-suite-at-kabarsiran-ave-6325938,2026-02-23T16:22:24.158368
PigiaMe,Sale,9 Bed House with En Suite at Kabarsiran Ave,"KSh 350,000,000","Lavington, Nairobi",9 bed,,,,,2026-02-23T16:22:24.163340
PigiaMe,Sale,Silver,"KSh 75,000,000","Lavington, Nairobi",4 bed,,,,https://www.pigiame.co.ke/listings/4-bed-townhouse-with-garden-in-lavington-6608472,2026-02-23T16:22:24.211948
PigiaMe,Sale,4 Bed Townhouse with Garden in Lavington,"KSh 75,000,000","Lavington, Nairobi",4 bed,,,,,2026-02-23T16:22:24.216643
PigiaMe,Sale,Silver,"KSh 73,000,000","Kileleshwa, Nairobi",4 bed,,,,https://www.pigiame.co.ke/listings/4-bed-townhouse-with-en-suite-in-kileleshwa-6615725,2026-02-23T16:22:24.396977
PigiaMe,Sale,4 Bed Townhouse with En Suite in Kileleshwa,"KSh 73,000,000","Kileleshwa, Nairobi",4 bed,,,,,2026-02-23T16:22:24.427613
PigiaMe,Sale,Silver,"KSh 70,000,000","Lavington, Nairobi",5 bed,,,,https://www.pigiame.co.ke/listings/5-bed-townhouse-with-en-suite-in-lavington-6617357,2026-02-23T16:22:24.587240
PigiaMe,Sale,5 Bed Townhouse with En Suite in Lavington,"KSh 70,000,000","Lavington, Nairobi",5 bed,,,,,2026-02-23T16:22:24.602790
PigiaMe,Sale,Silver,"KSh 159,000,000","Lavington, Nairobi",5 bed,,,,https://www.pigiame.co.ke/listings/5-bed-townhouse-with-en-suite-in-lavington-6624423,2026-02-23T16:22:24.763853
PigiaMe,Sale,5 Bed Townhouse with En Suite in Lavington,"KSh 159,000,000","Lavington, Nairobi",5 bed,,,,,2026-02-23T16:22:24.777417
PigiaMe,Sale,Silver,"KSh 28,000,000","Kiambu Road, Nairobi",4 bed,,,,https://www.pigiame.co.ke/listings/4-bed-villa-with-en-suite-in-kiambu-road-5260201,2026-02-23T16:22:24.899259
PigiaMe,Sale,4 Bed Villa with En Suite in Kiambu Road,"KSh 28,000,000","Kiambu Road, Nairobi",4 bed,,,,,2026-02-23T16:22:24.906287
PigiaMe,Sale,Silver,"KSh 9,300,000","Buruburu, Nairobi",3 bed,,,,https://www.pigiame.co.ke/listings/3-bed-house-in-buruburu-6301931,2026-02-23T16:22:24.973324
PigiaMe,Sale,3 Bed House in Buruburu,"KSh 9,300,000","Buruburu, Nairobi",3 bed,,,,,2026-02-23T16:22:24.980578
PigiaMe,Sale,Silver,"KSh 24,000,000","Madaraka, Nairobi",4 bed,,,,https://www.pigiame.co.ke/listings/4-bed-house-with-en-suite-in-madaraka-6454320,2026-02-23T16:22:25.041630
PigiaMe,Sale,4 Bed House with En Suite in Madaraka,"KSh 24,000,000","Madaraka, Nairobi",4 bed,,,,,2026-02-23T16:22:25.047265
PigiaMe,Sale,Classifieds,,,,,,,https://www.pigiame.co.ke/classifieds/nairobi,2026-02-23T16:22:25.102315
PigiaMe,Sale,Houses for Sale,,,,,,,https://www.pigiame.co.ke/property-rentals-sales/nairobi,2026-02-23T16:22:25.103297
PigiaMe,Sale,Kenya,,,,,,,https://www.pigiame.co.ke/houses-for-sale,2026-02-23T16:22:25.103763
PigiaMe,Sale,Lavington,,,,,,,https://www.pigiame.co.ke/houses-for-sale/nairobi?location=lavington,2026-02-23T16:22:25.104417
PigiaMe,Sale,Karen,,,,,,,https://www.pigiame.co.ke/houses-for-sale/nairobi?location=karen,2026-02-23T16:22:25.104739
PigiaMe,Sale,Runda,,,,,,,https://www.pigiame.co.ke/houses-for-sale/nairobi?location=runda,2026-02-23T16:22:25.105019
PigiaMe,Sale,Kitengela,,,,,,,https://www.pigiame.co.ke/houses-for-sale/nairobi?location=kitengela,2026-02-23T16:22:25.105294
PigiaMe,Sale,Ngong,,,,,,,https://www.pigiame.co.ke/houses-for-sale/nairobi?location=ngong,2026-02-23T16:22:25.105608
PigiaMe,Sale,Buruburu,,,,,,,https://www.pigiame.co.ke/houses-for-sale/nairobi?location=buruburu,2026-02-23T16:22:25.106256
PigiaMe,Sale,Donholm,,,,,,,https://www.pigiame.co.ke/houses-for-sale/nairobi?location=donholm,2026-02-23T16:22:25.106614
PigiaMe,Sale,Gigiri,,,,,,,https://www.pigiame.co.ke/houses-for-sale/nairobi?location=gigiri,2026-02-23T16:22:25.107163
PigiaMe,Sale,Kiambu Road,,,,,,,https://www.pigiame.co.ke/houses-for-sale/nairobi?location=kiambu-road,2026-02-23T16:22:25.107975
PigiaMe,Sale,Kileleshwa,,,,,,,https://www.pigiame.co.ke/houses-for-sale/nairobi?location=kileleshwa,2026-02-23T16:22:25.108371
PigiaMe,Sale,Kilimani,,,,,,,https://www.pigiame.co.ke/houses-for-sale/nairobi?location=kilimani,2026-02-23T16:22:25.108741
PigiaMe,Sale,Kiserian,,,,,,,https://www.pigiame.co.ke/houses-for-sale/nairobi?location=kiserian,2026-02-23T16:22:25.109120
PigiaMe,Sale,Kitisuru,,,,,,,https://www.pigiame.co.ke/houses-for-sale/nairobi?location=kitisuru,2026-02-23T16:22:25.109961
PigiaMe,Sale,Kyuna,,,,,,,https://www.pigiame.co.ke/houses-for-sale/nairobi?location=kyuna,2026-02-23T16:22:25.110348
PigiaMe,Sale,Lang'ata,,,,,,,https://www.pigiame.co.ke/houses-for-sale/nairobi?location=langata,2026-02-23T16:22:25.110738
PigiaMe,Sale,Loresho,,,,,,,https://www.pigiame.co.ke/houses-for-sale/nairobi?location=loresho,2026-02-23T16:22:25.111704
PigiaMe,Sale,Lower Kabete,,,,,,,https://www.pigiame.co.ke/houses-for-sale/nairobi?location=lower-kabete,2026-02-23T16:22:25.112079
PigiaMe,Sale,Mlolongo,,,,,,,https://www.pigiame.co.ke/houses-for-sale/nairobi?location=mlolongo,2026-02-23T16:22:25.112533
PigiaMe,Sale,Muthaiga,,,,,,,https://www.pigiame.co.ke/houses-for-sale/nairobi?location=muthaiga,2026-02-23T16:22:25.112907
PigiaMe,Sale,Nairobi CBD,,,,,,,https://www.pigiame.co.ke/houses-for-sale/nairobi?location=nairobi-cbd,2026-02-23T16:22:25.113280
PigiaMe,Sale,Nyari,,,,,,,https://www.pigiame.co.ke/houses-for-sale/nairobi?location=nyari,2026-02-23T16:22:25.113862
PigiaMe,Sale,Ongata Rongai,,,,,,,https://www.pigiame.co.ke/houses-for-sale/nairobi?location=ongata-rongai,2026-02-23T16:22:25.114185
PigiaMe,Sale,Other Nairobi,,,,,,,https://www.pigiame.co.ke/houses-for-sale/nairobi?location=other-nairobi,2026-02-23T16:22:25.114463
PigiaMe,Sale,Parklands,,,,,,,https://www.pigiame.co.ke/houses-for-sale/nairobi?location=parklands,2026-02-23T16:22:25.114746
PigiaMe,Sale,"Ridgeways, Fourways Junction",,,,,,,https://www.pigiame.co.ke/houses-for-sale/nairobi?location=ridgeways-fourways-junction,2026-02-23T16:22:25.115052
PigiaMe,Sale,Riverside,,,,,,,https://www.pigiame.co.ke/houses-for-sale/nairobi?location=riverside,2026-02-23T16:22:25.115373
PigiaMe,Sale,Roselyn,,,,,,,https://www.pigiame.co.ke/houses-for-sale/nairobi?location=rosslyn,2026-02-23T16:22:25.115659
PigiaMe,Sale,Roysambu,,,,,,,https://www.pigiame.co.ke/houses-for-sale/nairobi?location=roysambu,2026-02-23T16:22:25.115958
PigiaMe,Sale,South B,,,,,,,https://www.pigiame.co.ke/houses-for-sale/nairobi?location=south-b,2026-02-23T16:22:25.116516
PigiaMe,Sale,South C,,,,,,,https://www.pigiame.co.ke/houses-for-sale/nairobi?location=south-c,2026-02-23T16:22:25.116794
PigiaMe,Sale,Spring Valley,,,,,,,https://www.pigiame.co.ke/houses-for-sale/nairobi?location=spring-valley,2026-02-23T16:22:25.117067
PigiaMe,Sale,Syokimau,,,,,,,https://www.pigiame.co.ke/houses-for-sale/nairobi?location=syokimau,2026-02-23T16:22:25.117339
PigiaMe,Sale,Westlands,,,,,,,https://www.pigiame.co.ke/houses-for-sale/nairobi?location=westlands,2026-02-23T16:22:25.117640
PigiaMe,Sale,Follow PigiaMe on Facebook,,,,,,,https://www.facebook.com/pigiame/,2026-02-23T16:22:25.127208
PigiaMe,Sale,Follow PigiaMe on Twitter,,,,,,,https://twitter.com/PigiaMe,2026-02-23T16:22:25.127594
PigiaMe,Sale,Follow PigiaMe on Instagram,,,,,,,https://www.instagram.com/pigiameke/,2026-02-23T16:22:25.127977
PigiaMe,Sale,Follow PigiaMe on LinkedIn,,,,,,,https://www.linkedin.com/company/pigiame/,2026-02-23T16:22:25.128459
PigiaMe,Sale,Follow PigiaMe on Pinterest,,,,,,,https://www.pinterest.com/pigiame/,2026-02-23T16:22:25.128931
PigiaMe,Sale,Follow PigiaMe on YouTube,,,,,,,https://www.youtube.com/channel/UCzVJRy0eB_NNXM3wj-cA6fQ,2026-02-23T16:22:25.129388
PigiaMe,Sale,6 Bed Villa with En Suite in Lavington,"KSh 110,000,000","Lavington, Nairobi",6 bed,,,,https://www.pigiame.co.ke/listings/6-bed-villa-with-en-suite-in-lavington-5557866,2026-02-23T16:22:39.848204
PigiaMe,Sale,6 Bed Villa with En Suite in Lavington,"KSh 110,000,000","Lavington, Nairobi",6 bed,,,,,2026-02-23T16:22:39.853226
PigiaMe,Sale,6 Bed Villa with En Suite in Lavington,"KSh 121,000,000","Lavington, Nairobi",6 bed,,,,https://www.pigiame.co.ke/listings/6-bed-villa-with-en-suite-in-lavington-5665767,2026-02-23T16:22:39.902532
PigiaMe,Sale,6 Bed Villa with En Suite in Lavington,"KSh 121,000,000","Lavington, Nairobi",6 bed,,,,,2026-02-23T16:22:39.906770
PigiaMe,Sale,5 Bed Townhouse with En Suite at James Gichuru Road,"KSh 150,000,000","Lavington, Nairobi",5 bed,,,,https://www.pigiame.co.ke/listings/5-bed-townhouse-with-en-suite-at-james-gichuru-road-6467700,2026-02-23T16:22:39.954827
PigiaMe,Sale,5 Bed Townhouse with En Suite at James Gichuru Road,"KSh 150,000,000","Lavington, Nairobi",5 bed,,,,,2026-02-23T16:22:39.958492
PigiaMe,Sale,5 Bed Villa with En Suite in Karen,"KSh 99,000,000","Karen, Nairobi",5 bed,,,,https://www.pigiame.co.ke/listings/5-bed-villa-with-en-suite-in-karen-5745597,2026-02-23T16:22:40.027211
PigiaMe,Sale,5 Bed Villa with En Suite in Karen,"KSh 99,000,000","Karen, Nairobi",5 bed,,,,,2026-02-23T16:22:40.039420
PigiaMe,Sale,5 Bed House with En Suite at Mimosa Road,"KSh 135,000,000","Runda, Nairobi",5 bed,,,,https://www.pigiame.co.ke/listings/5-bed-house-with-en-suite-at-mimosa-road-6141959,2026-02-23T16:22:40.171130
PigiaMe,Sale,5 Bed House with En Suite at Mimosa Road,"KSh 135,000,000","Runda, Nairobi",5 bed,,,,,2026-02-23T16:22:40.181924
PigiaMe,Sale,4 Bed House with En Suite in Runda,"KSh 63,000,000","Runda, Nairobi",4 bed,,,,https://www.pigiame.co.ke/listings/4-bed-house-with-en-suite-in-runda-5401924,2026-02-23T16:22:40.370322
PigiaMe,Sale,4 Bed House with En Suite in Runda,"KSh 63,000,000","Runda, Nairobi",4 bed,,,,,2026-02-23T16:22:40.384200
PigiaMe,Sale,4 Bed Townhouse with En Suite in Kitisuru,"KSh 45,000,000","Kitisuru, Nairobi",4 bed,,,,https://www.pigiame.co.ke/listings/4-bed-townhouse-with-en-suite-in-kitisuru-5535156,2026-02-23T16:22:40.454098
PigiaMe,Sale,4 Bed Townhouse with En Suite in Kitisuru,"KSh 45,000,000","Kitisuru, Nairobi",4 bed,,,,,2026-02-23T16:22:40.468355
PigiaMe,Sale,5 Bed Townhouse with En Suite at Garden Villa,"KSh 110,000,000","Lavington, Nairobi",5 bed,,,,https://www.pigiame.co.ke/listings/5-bed-townhouse-with-en-suite-at-garden-villa-6336597,2026-02-23T16:22:40.563784
PigiaMe,Sale,5 Bed Townhouse with En Suite at Garden Villa,"KSh 110,000,000","Lavington, Nairobi",5 bed,,,,,2026-02-23T16:22:40.569779
PigiaMe,Sale,4 Bed House with En Suite at Ruaka Road,"KSh 115,000,000","Runda, Nairobi",4 bed,,,,https://www.pigiame.co.ke/listings/4-bed-house-with-en-suite-at-ruaka-road-6157226,2026-02-23T16:22:40.638852
PigiaMe,Sale,4 Bed House with En Suite at Ruaka Road,"KSh 115,000,000","Runda, Nairobi",4 bed,,,,,2026-02-23T16:22:40.644961
PigiaMe,Sale,4 Bed Townhouse with En Suite in Lavington,"KSh 65,000,000","Lavington, Nairobi",4 bed,,,,https://www.pigiame.co.ke/listings/4-bed-townhouse-with-en-suite-in-lavington-6538798,2026-02-23T16:22:40.722160
PigiaMe,Sale,4 Bed Townhouse with En Suite in Lavington,"KSh 65,000,000","Lavington, Nairobi",4 bed,,,,,2026-02-23T16:22:40.731820
PigiaMe,Sale,5 bedroom townhouse for sale in Karen,"KSh 150,000,000","Karen, Nairobi",5 bed,,,,https://www.pigiame.co.ke/listings/5-bedroom-townhouse-for-sale-in-karen-5002029,2026-02-23T16:23:06.760581
PigiaMe,Sale,5 bedroom townhouse for sale in Karen,"KSh 150,000,000","Karen, Nairobi",5 bed,,,,,2026-02-23T16:23:06.771786
PigiaMe,Sale,5 Bed Townhouse with En Suite in Lavington,"KSh 150,000,000","Lavington, Nairobi",5 bed,,,,https://www.pigiame.co.ke/listings/5-bed-townhouse-with-en-suite-in-lavington-6509924,2026-02-23T16:23:06.863120
PigiaMe,Sale,5 Bed Townhouse with En Suite in Lavington,"KSh 150,000,000","Lavington, Nairobi",5 bed,,,,,2026-02-23T16:23:06.867819
PigiaMe,Sale,4 Bed House with En Suite in Loresho,"KSh 50,000,000","Loresho, Nairobi",4 bed,,,,https://www.pigiame.co.ke/listings/4-bed-house-with-en-suite-in-loresho-6235083,2026-02-23T16:23:06.913714
PigiaMe,Sale,4 Bed House with En Suite in Loresho,"KSh 50,000,000","Loresho, Nairobi",4 bed,,,,,2026-02-23T16:23:06.919243
PigiaMe,Sale,5 Bed House with En Suite at Thigiri Ridge,"KSh 155,000,000","Westlands, Nairobi",5 bed,,,,https://www.pigiame.co.ke/listings/5-bed-house-with-en-suite-at-thigiri-ridge-6264185,2026-02-23T16:23:06.978952
PigiaMe,Sale,5 Bed House with En Suite at Thigiri Ridge,"KSh 155,000,000","Westlands, Nairobi",5 bed,,,,,2026-02-23T16:23:06.990949
PigiaMe,Sale,4 Bed House with En Suite in Loresho,"KSh 45,000,000","Loresho, Nairobi",4 bed,,,,https://www.pigiame.co.ke/listings/4-bed-house-with-en-suite-in-loresho-5803194,2026-02-23T16:23:07.118809
PigiaMe,Sale,4 Bed House with En Suite in Loresho,"KSh 45,000,000","Loresho, Nairobi",4 bed,,,,,2026-02-23T16:23:07.130027
PigiaMe,Sale,7 Bed House with En Suite at Nyari Estate,"KSh 165,000,000","Nyari, Nairobi",7 bed,,,,https://www.pigiame.co.ke/listings/7-bed-house-with-en-suite-at-nyari-estate-5672452,2026-02-23T16:23:07.192309
PigiaMe,Sale,7 Bed House with En Suite at Nyari Estate,"KSh 165,000,000","Nyari, Nairobi",7 bed,,,,,2026-02-23T16:23:07.196818
PigiaMe,Sale,5 Bed House with En Suite at Kitisuru Estate.,"KSh 140,000,000","Kitisuru, Nairobi",5 bed,,,,https://www.pigiame.co.ke/listings/5-bed-house-with-en-suite-at-kitisuru-estate-5486314,2026-02-23T16:23:07.291894
